Technology,Category,Confidence,Version,Evidence
IP: 31.43.160.6,Infrastructure,100%,,DNS Resolution for ticaretus.com
"Location: Amsterdam, The Netherlands",Geo-Location,100%,,GeoIP Lookup
ISP: Framer B.V,Infrastructure,100%,,Organization: Framer B.V
Google Workspace,Email,100%,MX: smtp.google.com.,
Found 5 Subdomains,Reconnaissance,100%,,"melontik.ticaretus.com,panel.ticaretus.com,shop.ticaretus.com,ticaretus.com,www.ticaretus.com"
"Open Ports: 23/Telnet, 5432/PostgreSQL, 53/DNS, 9200/Elasticsearch",Infrastructure,100%,,Active TCP Connect Scan
Server Leaks (Error Page),Infrastructure,100%,,Server Header: Framer/091071e
Framer,CMS,100%,,"Header: server, Meta: generator"
Security Grade: F,Security Audit,100%,,Score: 40/100. Missing 4 critical headers.
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 5305...5792
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: NK1T...DKDW
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: AMK7...QRFS
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: RFRI...FDDN
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: YP2G...PLVD
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: DAM6...XTHL
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: F4KO...GTNO
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: YCQK...BAKS
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: IKS5...ETV6
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: AEP5...TJJB
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 3JML...SBTZ
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: LRSV...D73S
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: Y3L2...YP26
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: QQ73...HQEG
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: MGHU...LMLC
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 5WHY...VUOW
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: NEN3...DIOE
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: XY5R...6MYI
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: SS2L...IFT3
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: QZUK...J7TG
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: BEFW...3TFY
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: GDOR...YP3U
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 3MKI...ZNDJ
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: GHDY...VQPH
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: ORR4...QENJ
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: F7RB...I4RR
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: RWUE...EIEF
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 6Y6V...UQPV
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: F2GI...VIG5
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: ITQR...2CLQ
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 5RE3...EGPO
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: MCLE...P2AD
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: SOXL...A2GV
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: OKIG...IMSU
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: VQJW...JN3P
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: FRLK...B7PF
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 6SZQ...JFZ2
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: YU5X...Y5T6
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: ZXUS...AEOI
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: HGVZ...W7MO
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: WSOT...ITRR
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 2LXJ...LPEV
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: JGNF...ACJN
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 27RP...O5AU
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: TRRZ...FNRJ
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: W7JH...PQSG
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 6P4Y...JKIM
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: UM6J...X2RF
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: P2LQ...E6KA
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 6ZP4...GN72
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: KDWM...6ZH3
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: ZC32...2P7F
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: PS5G...L46E
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: U6KQ...24ZY
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 7AHD...4A7L
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: FLVF...FSAR
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: GIWC...JHIS
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: LAFF...SDUC
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: DVQE...PDC7
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: C53E...ZELW
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: PXCT...6LO6
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: ICM5...NTYE
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: NYPW...ECAW
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: GHM6...H6MI
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: LNYO...XHXB
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 5GTS...TMGX
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 1427...2343
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 9650...2780
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 1070...4113
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: R0Y7...50ZX
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 2061...1374
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 2631...8947
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 9799...8783
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 4817...8414
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 2525...5876
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 1666...6666
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8308...6425
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 7601...2707
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 3333...3333
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 0528...8587
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 3761...7643
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 4033...9021
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 6057...ZC3H
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 3QHB...A6PF
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8333...5714
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 4582...3237
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 3927...0794
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 9082...5307
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8613...2742
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8330...1831
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8121...1829
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 4174...5818
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 1263...9969
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: QCAJ...O2QE
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 1880...2326
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8618...1826
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 1867...7142
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8070...3204
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 0098...4951
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 0098...5956
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8958...5714
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8880...4116
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8681...3272
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 8378...8378
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 6671...9529
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 1265...2416
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 1028...0027
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 0400...0000
Leaked Secret,Security Risk,100%,,Found Algolia Application ID in HTML: 9274...9999
